,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
21,"1622561336.7047718,",245209000,0,3.299999952316284,1,51.980313333333335,4.093181666666666,106.5999984741211,104,56
22,"1622561336.72994,",246259000,3,0.5,1,51.98952666666667,4.024663333333334,268.29998779296875,88,56
23,"1622561337.0178597,",538006271,0,6.300000190734863,1,51.98011833333333,3.743858333333333,61.5,60,57
24,"1622561337.2844574,",244690814,0,0.2000000029802322,1,51.958535,4.144031666666667,133.0,309,57
25,"1622561337.469877,",351335000,5,0.0,0,51.950945,4.12718,253.3000030517578,187,57
26,"1622561337.4991586,",244287000,0,25.299999237060547,1,51.970416666666665,4.115866666666666,94.0,85,55
27,"1622561337.8362706,",210621000,0,0.0,1,51.90146666666666,4.384783333333333,340.0,52,57
28,"1622561337.9682128,",636012662,0,0.0,0,51.967695,4.073918333333333,137.0,152,58
29,"1622561337.9948208,",533130869,5,0.0,0,51.96788,4.067425,47.79999923706055,63,36
30,"1622561338.044787,",257048880,0,11.5,1,52.031505,3.9675516666666666,304.6000061035156,315,56
31,"1622561338.1001203,",244050469,0,0.0,0,51.96118833333333,4.08988,242.3000030517578,193,57
32,"1622561338.4031599,",248753000,0,9.199999809265137,0,51.968228333333336,4.111271666666667,116.8000030517578,115,57
33,"1622561338.4697075,",244660000,7,2.200000047683716,0,52.051575,4.16368,227.1000061035156,211,57
34,"1622561338.633741,",211684020,0,0.0,1,51.96414833333333,4.09445,22.299999237060547,113,59
35,"1622561338.7199428,",244900124,0,0.0,0,51.95999166666667,4.011161666666666,181.1000061035156,357,59
36,"1622561338.7901676,",249040000,0,8.600000381469727,1,51.971691666666665,4.094045,42.0,46,55
37,"1622561338.8202193,",249522000,10,9.399999618530272,1,51.96673333333333,4.0855,42.0,41,59
38,"1622561339.4711127,",305149000,0,5.5,0,51.97168166666667,4.098651666666667,111.3000030517578,112,0
39,"1622561339.5704646,",244287000,0,25.100000381469727,1,51.970416666666665,4.116233333333334,90.0,80,57
40,"1622561339.74779,",244030516,0,4.800000190734863,1,51.93991166666667,4.084061666666667,114.1999969482422,109,59
41,"1622561339.830676,",244820146,0,1.7000000476837158,1,52.038,3.9006666666666665,35.0,32,59
42,"1622561340.4123335,",245209000,0,3.299999952316284,1,51.98029833333333,4.0932683333333335,106.5999984741211,104,59
43,"1622561340.479235,",244050469,0,0.0,0,51.96118833333333,4.08988,240.0,193,0
44,"1622561340.5985572,",314416000,0,11.699999809265137,0,52.01038666666667,4.003416666666666,298.29998779296875,300,0
45,"1622561340.7368116,",636017857,4,8.399999618530273,1,51.98164,4.069788333333333,114.5,114,51
46,"1622561341.0038097,",245617000,7,8.300000190734863,1,51.85898,3.917026666666666,9.300000190734863,14,50
47,"1622561341.5766308,",244287000,0,24.899999618530277,1,51.97043333333333,4.1168,85.0,74,0
48,"1622561341.7204976,",249522000,10,9.5,1,51.9668,4.0856,41.0,43,1
49,"1622561341.936788,",244013210,0,0.0,1,51.976841666666665,4.125673333333333,95.3000030517578,210,1
50,"1622561342.0160525,",304642000,5,17.100000381469727,1,52.029,3.944333333333333,293.0,295,59
51,"1622561342.4172318,",371319000,1,0.0,1,52.20966833333333,3.6587316666666663,346.79998779296875,46,0
52,"1622561342.588283,",304068000,0,0.0,0,51.92275166666667,4.217155,89.80000305175781,38,3
53,"1622561342.6860707,",205565000,0,0.0,0,51.960985,4.1406583333333336,266.5,352,60
54,"1622561342.7903652,",305149000,0,5.5,0,51.971653333333336,4.098766666666666,111.5999984741211,112,3
55,"1622561342.8447444,",244407000,0,0.0,1,51.97666,4.1255,180.0,208,1
56,"1622561343.0607953,",244030516,0,4.699999809265137,1,51.939885,4.08416,113.4000015258789,108,2
57,"1622561343.505548,",249518000,0,0.0,0,51.959916666666665,4.00996,204.8999938964844,352,4
58,"1622561343.5163987,",244287000,0,24.600000381469727,1,51.97046666666667,4.117166666666667,79.0,67,2
